Barra Candidata;Skss (Mva);x;c;v;b
;500;24,15391732;13,91362481;100;26,33109539
;1000;21,91270655;12,37987769;100;24,18223595
;1500;20,04153886;11,1424339;100;22,34652566
;2000;18,45876958;10,1253564;100;20,76340133
;2500;17,10405248;9,275768857;100;19,3857873
;3000;15,93227538;8,556077045;100;18,17706015
;3500;14,90923188;7,938966381;100;17,10852195
;4000;14,00860401;7,404179564;100;16,15747035
;500;21,15007021;12,06898157;56,88196399;100
;1000;18,10897872;10,21076887;50,41519091;100
;1500;15,82168626;8,839312506;45,24218715;100
;2000;14,04233322;7,788519474;41,01896395;100
;2500;12,62010829;6,958922985;37,50986397;100
;3000;11,45799802;6,287892751;34,54978775;100
;3500;10,49098129;5,734216571;32,02024576;100
;4000;9,673932898;5,269738377;29,83424512;100
;500;100;18,78872965;38,84491919;16,04353201
;1000;100;16,14785615;34,28572366;13,89787334
;1500;100;14,15627121;30,68041608;12,2570934
;2000;100;12,6012103;27,75913108;10,96214782
;2500;100;11,35354495;25,3446165;9,914303532
;3000;100;10,33043462;23,31581408;9,049084967
;3500;100;9,47631897;21,58729409;8,322625008
;4000;100;8,752554047;20,09707661;7,704050264
;500;9,169668974;100;10,9448671;4,316272928
;1000;8,341595918;100;9,970091923;3,937113798
;1500;7,633205095;100;9,132522949;3,607630171
;2000;7,025854141;100;8,41229992;3,322698194
;2500;6,502127266;100;7,789929413;3,075767731
;3000;6,047354454;100;7,248640998;2,860707936
;3500;5,649612367;100;6,774644842;2,672279103
;4000;5,299320358;100;6,35677903;2,506151509
;500;21,00800255;12,21509745;79,7133684;22,74658416
;1000;17,07519331;9,761659986;69,08991615;18,65102606
;1500;14,38118156;8,128593597;60,95212145;15,80292409
;2000;12,42074627;6,963476206;54,52223461;13,70835717
;2500;10,93034894;6,09042157;49,3153122;12,10350461
;3000;9,75912412;5,411861073;45,0136478;10,83473378
;3500;8,814503249;4,869324971;41,40056631;9,80654939
;4000;8,036546303;4,425642815;38,32329945;8,956485064
;500;19,56011;11,64644034;70,09877764;21,03653404
;1000;15,08163897;8,821094995;56,98224576;16,34759573
;1500;12,26418831;7,094688397;47,96826993;13,35894537
;2000;10,33078456;5,931858585;41,40286171;11,29067306
;2500;8,922647576;5,095838608;36,41163551;9,775396929
;3000;7,85168066;4,466020663;32,49080684;8,617918398
;3500;7,009897561;3,974577881;29,33025705;7,705091248
;4000;6,330925482;3,580464302;26,72885302;6,96686459
;500;16,71493965;10,1809373;57,7666525;17,87305204
;1000;11,51489649;6,930009596;41,06536413;12,37356336
;1500;8,77957283;5,250851103;31,84536781;9,458748782
;2000;7,093489545;4,226189304;26,00349037;7,654443972
;2500;5,950373736;3,535951115;21,97161128;6,427881275
;3000;5,124417588;3,039442318;19,02170895;5,539971107
;3500;4,499744424;2,665161951;16,76991256;4,867516478
;4000;4,010784814;2,372932414;14,99469026;4,340599761
;500;15,2136229;9,025321244;54,11421202;16,34609751
